"filename","_col1"
"20230823_03_408.zip-382364H0.809","12"
"20230811_23_408.zip-381111H0.815","189"
"20230824_11_408.zip-382472H0.814","8"
"20230811_14_408.zip-381127H0.813","1002"
"20230823_22_408.zip-382356H0.805","16"
"20230810_22_408.zip-381028H0.804","713"
"20230817_10_408.zip-381783H0.808","862"
"20230815_06_408.zip-381586H0.809","1121"
"20230816_10_408.zip-381627H0.816","860"
"20230816_09_408.zip-381696H0.804","888"
"20230817_08_408.zip-381715H0.804","5748"
"20230817_06_408.zip-381734H0.816","1692"
"20230816_04_408.zip-381693H0.804","7969"
"20230818_06_408.zip-381853H0.812","5278"
"20230817_23_408.zip-381791H0.808","250"
"20230812_13_408.zip-381270H0.805","4141"
"20230812_08_408.zip-381253H0.808","906"
"20230817_15_408.zip-381720H0.804","3131"
"20230817_09_408.zip-381717H0.804","717"
"20230822_22_408.zip-382260H0.809","12"
"20230820_16_408.zip-382032H0.814","12"
"20230819_17_408.zip-381909H0.811","44"
"20230820_22_408.zip-382029H0.811","42"
"20230820_21_408.zip-382023H0.809","15"
"20230823_09_408.zip-382351H0.811","39"
"20230824_01_408.zip-382380H0.809","12"
"20230821_09_408.zip-382137H0.811","39"
"20230820_19_408.zip-382087H0.815","10"
"20230821_10_408.zip-382189H0.813","12"
"20230821_14_408.zip-382100H0.807","38"
"20230820_20_408.zip-382019H0.805","20"
"20230819_18_408.zip-381908H0.805","20"
"20230823_10_408.zip-382348H0.805","16"
"20230822_10_408.zip-382202H0.815","8"
"20230811_17_408.zip-381128H0.813","3001"
"20230810_12_408.zip-381077H0.812","1546"
"20230811_02_408.zip-381047H0.808","345"
"20230814_01_408.zip-381364H0.804","972"
"20230813_16_408.zip-381315H0.807","1109"
"20230814_11_408.zip-381483H0.802","306"
"20230816_10_408.zip-381628H0.816","865"
"20230815_16_408.zip-381579H0.814","1899"
"20230814_12_408.zip-381438H0.801","2686"
"20230813_23_408.zip-381350H0.811","1066"
"20230815_07_408.zip-381539H0.807","2846"
"20230814_06_408.zip-381414H0.812","3792"
"20230813_23_408.zip-381312H0.812","1284"
"20230814_21_408.zip-381428H0.812","1857"
"20230817_08_408.zip-381716H0.804","708"
"20230816_15_408.zip-381630H0.816","3622"
"20230815_12_408.zip-381525H0.816","6078"
"20230813_13_408.zip-381343H0.813","1286"
"20230812_12_408.zip-381240H0.811","1917"
"20230815_12_408.zip-381587H0.804","1548"
"20230815_17_408.zip-381546H0.807","2757"
"20230817_14_408.zip-381746H0.812","1085"
"20230820_15_408.zip-382018H0.809","15"
"20230819_23_408.zip-381916H0.811","44"
"20230815_08_408.zip-381526H0.818","138"
"20230812_13_408.zip-381223H0.801","1199"
"20230819_09_408.zip-381909H0.809","49"
"20230819_15_408.zip-381900H0.808","9"
"20230821_07_408.zip-382128H0.809","15"
"20230819_12_408.zip-381972H0.813","15"
"20230821_07_408.zip-382176H0.812","18"
"20230817_15_408.zip-381771H0.801","1573"
